text,user_id,status_id,created_at,screen_name
e1c87205446e1c8cc10879d9851cd008,1087104415637467100,1089283116521439200,2019-01-26T22:05:07Z,didntstartit
3742cd671c7f6d482c2e7942eeb43346,1087104415637467100,1089268587012018200,2019-01-26T21:07:23Z,didntstartit
4c1c7a82abdeabc37b73b2e8328302eb,1087104415637467100,1088258499644141600,2019-01-24T02:13:39Z,didntstartit
e1c87205446e1c8cc10879d9851cd008,1087104415637467100,1088254421677588500,2019-01-24T01:57:27Z,didntstartit
80b0ae73fe0e882b0a24973e4e2c8203,1087104415637467100,1087200802463199200,2019-01-21T04:10:45Z,didntstartit
"-------------- 
Hello world! 
 --------------
    \
      \
        \
            |\___/|
          ==) ^Y^ (==
            \  ^  /
             )=*=(
            /     \
            |     |
           /| | | |\
           \| | |_|/\
      jgs  //_// ___/
               \_)",1087104415637467100,1087199327255183400,2019-01-21T04:04:53Z,didntstartit
first_rtweet,1087104415637467100,1087198826501410800,2019-01-21T04:02:54Z,didntstartit
🔥🔥🔥🔥 #myfourthTweet,1087104415637467100,1087190114470686700,2019-01-21T03:28:16Z,didntstartit
🔥🔥🔥 #mythirdTweet,1087104415637467100,1087110626315522e3,2019-01-20T22:12:25Z,didntstartit
🔥🔥 #mysecondTweet,1087104415637467100,1087108934165397500,2019-01-20T22:05:42Z,didntstartit
🔥 #myfirstTweet,1087104415637467100,1087106107665834e3,2019-01-20T21:54:28Z,didntstartit
