text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude,location,language,profileImageURL,created_at
🔥🔥🔥 #mythirdTweet,FALSE,0,NA,2019-01-20T22:12:25Z,FALSE,NA,1087110626315522048,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",didntstartit,0,FALSE,FALSE,NA,NA,,en,http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,2019-01-20T22:12:25Z
🔥🔥 #mysecondTweet,FALSE,0,NA,2019-01-20T22:05:42Z,FALSE,NA,1087108934165397504,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",didntstartit,0,FALSE,FALSE,NA,NA,,en,http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,2019-01-20T22:05:42Z
🔥 #myfirstTweet,FALSE,0,NA,2019-01-20T21:54:28Z,FALSE,NA,1087106107665833985,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",didntstartit,0,FALSE,FALSE,NA,NA,,en,http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,2019-01-20T21:54:28Z
