text,user_id,status_id,created_at,screen_name
e1c87205446e1c8cc10879d9851cd008,1087104415637467137,1093642771162894338,2019-02-07T22:48:50Z,didntstartit
e15efc0db45ebdee4bebbca843987014,1087104415637467137,1093595604054433799,2019-02-07T19:41:24Z,didntstartit
e1c87205446e1c8cc10879d9851cd008,1087104415637467137,1092524296172462081,2019-02-04T20:44:24Z,didntstartit
4b5630ee914e848e8d07221556b0a2fb,1087104415637467137,1090688930129854467,2019-01-30T19:11:19Z,didntstartit
e1c87205446e1c8cc10879d9851cd008,1087104415637467137,1090684018352406528,2019-01-30T18:51:48Z,didntstartit
e1c87205446e1c8cc10879d9851cd008,1087104415637467137,1089621073795207174,2019-01-27T20:28:02Z,didntstartit
e1c87205446e1c8cc10879d9851cd008,1087104415637467137,1089283116521439233,2019-01-26T22:05:07Z,didntstartit
3742cd671c7f6d482c2e7942eeb43346,1087104415637467137,1089268587012018178,2019-01-26T21:07:23Z,didntstartit
4c1c7a82abdeabc37b73b2e8328302eb,1087104415637467137,1088258499644141569,2019-01-24T02:13:39Z,didntstartit
e1c87205446e1c8cc10879d9851cd008,1087104415637467137,1088254421677588480,2019-01-24T01:57:27Z,didntstartit
