long,lat,group,order,region,subregion,lat_trunc,long_trunc
-79.10255432128906,42.605140686035156,2,30,new york,main,42.6,-79.1
-79.05671691894531,42.656707763671875,2,31,new york,main,42.7,-79.1
-79.045257568359375,42.69108581542969,2,32,new york,main,42.7,-79
-79.0223388671875,42.71400451660156,2,33,new york,main,42.7,-79
-78.99369049072266,42.71973419189453,2,34,new york,main,42.7,-79
-78.907745361328125,42.742652893066406,2,35,new york,main,42.7,-78.9
-78.87337493896484,42.75983810424805,2,36,new york,main,42.8,-78.9
-78.8561782836914,42.81140899658203,2,37,new york,main,42.8,-78.9
-78.88482666015625,42.85724639892578,2,38,new york,main,42.9,-78.9
-78.90201568603516,42.903079986572266,2,39,new york,main,42.9,-78.9
-78.90201568603516,42.94318389892578,2,40,new york,main,42.9,-78.9
-78.9192123413086,42.96037673950195,2,41,new york,main,43,-78.9
-78.9478530883789,42.966102600097656,2,42,new york,main,43,-78.9
-78.97650146484375,42.948917388916016,2,43,new york,main,42.9,-79
-78.98223114013672,42.97183609008789,2,44,new york,main,43,-79
-79.01660919189453,42.994754791259766,2,45,new york,main,43,-79
-79.01660919189453,43.023399353027344,2,46,new york,main,43,-79
-79.01087951660156,43.05204772949219,2,47,new york,main,43.1,-79
-79.02806854248047,43.08069610595703,2,48,new york,main,43.1,-79
-79.05671691894531,43.09215545654297,2,49,new york,main,43.1,-79.1
-79.05671691894531,43.109344482421875,2,50,new york,main,43.1,-79.1
-79.0395278930664,43.13226318359375,2,51,new york,main,43.1,-79
-79.01660919189453,43.14944839477539,2,52,new york,main,43.1,-79
-79.01660919189453,43.19528579711914,2,53,new york,main,43.2,-79
-79.01660919189453,43.246856689453125,2,54,new york,main,43.2,-79
-79.01087951660156,43.28123092651367,2,55,new york,main,43.3,-79
-78.97077178955078,43.29269027709961,2,56,new york,main,43.3,-79
-78.84471893310547,43.309879302978516,2,57,new york,main,43.3,-78.8
-78.67283630371094,43.33852767944336,2,58,new york,main,43.3,-78.7
-78.52386474609375,43.361446380615234,2,59,new york,main,43.4,-78.5
-78.4608383178711,43.361446380615234,2,60,new york,main,43.4,-78.5
-78.41500091552734,43.361446380615234,2,61,new york,main,43.4,-78.4
-78.26603698730469,43.361446380615234,2,62,new york,main,43.4,-78.3
-78.208740234375,43.3671760559082,2,63,new york,main,43.4,-78.2
-78.1858139038086,43.361446380615234,2,64,new york,main,43.4,-78.2
-78.094146728515625,43.3671760559082,2,65,new york,main,43.4,-78.1
-78.0082015991211,43.361446380615234,2,66,new york,main,43.4,-78
-77.93944549560547,43.355716705322266,2,67,new york,main,43.4,-77.9
-77.81340026855469,43.33852767944336,2,68,new york,main,43.3,-77.8
-77.756103515625,43.33279800415039,2,69,new york,main,43.3,-77.8
-77.687347412109375,43.29269027709961,2,70,new york,main,43.3,-77.7
-77.63578033447266,43.2583122253418,2,71,new york,main,43.3,-77.6
-77.595672607421875,43.246856689453125,2,72,new york,main,43.2,-77.6
-77.5555648803711,43.246856689453125,2,73,new york,main,43.2,-77.6
-77.53837585449219,43.22393798828125,2,74,new york,main,43.2,-77.5
-77.51546478271484,43.246856689453125,2,75,new york,main,43.2,-77.5
-77.48680877685547,43.264041900634766,2,76,new york,main,43.3,-77.5
-77.41805267333984,43.28123092651367,2,77,new york,main,43.3,-77.4
-77.3722152709961,43.28123092651367,2,78,new york,main,43.3,-77.4
-77.31492614746094,43.29269027709961,2,79,new york,main,43.3,-77.3
-77.2117919921875,43.29269027709961,2,80,new york,main,43.3,-77.2
-77.09146881103516,43.28123092651367,2,81,new york,main,43.3,-77.1
-77.005523681640625,43.28123092651367,2,82,new york,main,43.3,-77
-76.97688293457031,43.25258255004883,2,83,new york,main,43.3,-77
-76.9425048828125,43.2755012512207,2,84,new york,main,43.3,-76.9
-76.93677520751953,43.29269027709961,2,85,new york,main,43.3,-76.9
-76.913848876953125,43.29841995239258,2,86,new york,main,43.3,-76.9
-76.83937072753906,43.29841995239258,2,87,new york,main,43.3,-76.8
-76.81645202636719,43.309879302978516,2,88,new york,main,43.3,-76.8
-76.74769592285156,43.33852767944336,2,89,new york,main,43.3,-76.7
-76.71904754638672,43.32706832885742,2,90,new york,main,43.3,-76.7
-76.70758819580078,43.32706832885742,2,91,new york,main,43.3,-76.7
-76.6846694946289,43.3671760559082,2,92,new york,main,43.4,-76.7
-76.66175842285156,43.39009475708008,2,93,new york,main,43.4,-76.7
-76.63883209228516,43.407283782958984,2,94,new york,main,43.4,-76.6
-76.61592102050781,43.418739318847656,2,95,new york,main,43.4,-76.6
-76.57581329345703,43.447391510009766,2,96,new york,main,43.4,-76.6
-76.51851654052734,43.447391510009766,2,97,new york,main,43.4,-76.5
-76.507049560546875,43.453121185302734,2,98,new york,main,43.5,-76.5
-76.49559783935547,43.47603988647461,2,99,new york,main,43.5,-76.5
-76.48413848876953,43.49895477294922,2,100,new york,main,43.5,-76.5
-76.44976043701172,43.521873474121094,2,101,new york,main,43.5,-76.4
-76.40392303466797,43.521873474121094,2,102,new york,main,43.5,-76.4
-76.34662628173828,43.510414123535156,2,103,new york,main,43.5,-76.3
-76.283599853515625,43.510414123535156,2,104,new york,main,43.5,-76.3
-76.26068115234375,43.53333282470703,2,105,new york,main,43.5,-76.3
-76.2320327758789,43.561981201171875,2,106,new york,main,43.6,-76.2
-76.22630310058594,43.59062957763672,2,107,new york,main,43.6,-76.2
-76.22057342529297,43.64219284057617,2,108,new york,main,43.6,-76.2
-76.21484375,43.68230056762695,2,109,new york,main,43.7,-76.2
-76.237762451171875,43.7281379699707,2,110,new york,main,43.7,-76.2
-76.243499755859375,43.768245697021484,2,111,new york,main,43.8,-76.2
-76.283599853515625,43.814083099365234,2,112,new york,main,43.8,-76.3
-76.3065185546875,43.83700180053711,2,113,new york,main,43.8,-76.3
-76.30078887939453,43.859920501708984,2,114,new york,main,43.9,-76.3
-76.27787017822266,43.87710952758789,2,115,new york,main,43.9,-76.3
-76.26068115234375,43.87710952758789,2,116,new york,main,43.9,-76.3
-76.2320327758789,43.859920501708984,2,117,new york,main,43.9,-76.2
-76.20912170410156,43.859920501708984,2,118,new york,main,43.9,-76.2
-76.16328430175781,43.905757904052734,2,119,new york,main,43.9,-76.2
-76.15755462646484,43.945865631103516,2,120,new york,main,43.9,-76.2
-76.21484375,43.974510192871094,2,121,new york,main,44,-76.2
-76.151824951171875,44.014617919921875,2,122,new york,main,44,-76.2
-76.16328430175781,44.020347595214844,2,123,new york,main,44,-76.2
-76.191925048828125,44.02607727050781,2,124,new york,main,44,-76.2
